DSGS mitenand,DSGS mitenand manual,DSGS signer,SRF link,SRF title,LSF ensemble manual,LSF ensemble,LSF signer,RTS link,LSF SWISS TXT video file,RTS title,LIS insieme manual,LIS insieme,RSI link,RSI title,LIS signer
2022-01-06_flüchtlinge_–_lebensperspektive,2022-01-06_flüchtlinge_–_lebensperspektive,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/fluechtlinge---lebensperspektive-dank-familiennachzug?urn=urn:srf:video:e9360b96-74fc-4066-a1ce-28ca05e7c67f,Flüchtlinge – Lebensperspektive dank Familiennachzug,,,,,,,,,,,
2022-01-13_am_leben_teilnehmen,2022-01-13_am_leben_teilnehmen,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/am-leben-teilnehmen---trotz-schwerer-krankheit?urn=urn:srf:video:c476387b-4f0d-4a42-8774-ccb5d8c91ec8,Am Leben teilnehmen – trotz schwerer Krankheit,,,,,,,,,,,
2022-01-20_unterstützung_bei_der,2022-01-20_unterstützung_bei_der,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/unterstuetzung-bei-der-beruflichen-entwicklung?urn=urn:srf:video:609a8b37-4831-40a1-84e1-b5189169aedd,Unterstützung bei der beruflichen Entwicklung,2022-01-01_2204_chaîne_du_bonheur,2024-02-15,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/apres-des-annees-de-galere-amanda-retrouve-confiance-a-la-fondation-quellenhof?urn=urn:rts:video:14704058,2022-01-01_2204_chaîne_du_bonheur.mxf,"Après des années de galère, Amanda retrouve confiance à la Fondation Quellenhof",2022-06-06_fondazione_quellenhof_-,2022-06-06_fondazione_quellenhof_-,,Fondazione Quellenhof - LIS,Giancarla Calitri
2022-01-27_haarschnitt_für_ein,2022-01-27_haarschnitt_für_ein,Marcos Denis,,Haarschnitt für ein neues Leben,2022-03-13_2212_kar_li,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/kar-li-coiffeurs-gratuits-pour-les-plus-demunis?urn=urn:rts:video:14528309,2022-03-13_2212_kar_li.mxf,KAR-LI - Coiffeurs gratuits pour les plus démunis,2022-02-26_kar-li_-_un,2022-02-26_kar-li_-_un,,Kar-li - Un taglio di capelli benefico - LIS,Angela Lunelio
2022-02-03_ghana_–_bildungschancen,2022-02-03_ghana_–_bildungschancen,Marcos Denis,,Ghana – Bildungschancen dank Microschools,2022-04-03_2215_opportunity_international,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/opportunity-international-se-former-au-ghana-grace-aux-micro-ecoles?urn=urn:rts:video:14528339,2022-04-03_2215_opportunity_international.mxf,OPPORTUNITY INTERNATIONAL - Se former au Ghana grâce aux micro-écoles,2022-02-12_opportunità_educative_grazie,2022-02-12_opportunità_educative_grazie,,Opportunità educative grazie alle microscuole in Ghana - LIS,Angela Lunelio
2022-02-10_bewegungsförderung_für_kinder,2022-02-10_bewegungsförderung_für_kinder,Sarah Caminada,,Bewegungsförderung für Kinder,2022-08-21_2227_idée_sport,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/ideesport-de-lactivite-physique--pour-les-enfants?urn=urn:rts:video:14528414,2022-08-21_2227_idée_sport.mxf,IDEESPORT - De l’activité physique pour les enfants,2022-05-07_idée_sport_-,2022-05-07_idée_sport_-,,Idée Sport - LIS,Angela Lunelio
2022-02-17_lehrabschluss_trotz_beeinträchtigung,2022-02-17_lehrabschluss_trotz_beeinträchtigung,Sarah Caminada,,Lehrabschluss trotz Beeinträchtigung,2022-05-08_2220_fondation_brunau,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/brunau-un-diplome-dapprentissage-malgre-le-handicap?urn=urn:rts:video:14528331,2022-05-08_2220_fondation_brunau.mxf,BRUNAU - Un diplôme d’apprentissage malgré le handicap,2022-08-13_fondazione_brunau_-,2022-08-13_fondazione_brunau_-,,Fondazione Brunau - LIS,Angela Lunelio
2022-02-24_brasilien_–_ein,2022-02-24_brasilien_–_ein,Barbara Rossier,,Brasilien – Ein Weg aus der Gewalt der Favelas,,,,,,,2022-04-23_don_bosco_-,2022-04-23_don_bosco_-,,Don Bosco - Brasile - LIS,Giancarla Calitri
2022-03-03_ein_neues_leben,2022-03-03_ein_neues_leben,Barbara Rossier,,Ein neues Leben für streunende Katzen,2022-05-03_kumea_recueille_les,2022-05-03_kumea_recueille_les,Adrien Pelletier,,2021_09_26_2147_Kumea,Kumea recueille les chats errants pour les soigner et leur offrir une vie meilleure.,,,,,
2022-03-10_unterstützung_für_flüchtlinge,2022-03-10_unterstützung_für_flüchtlinge,Marcos Denis,,Unterstützung für Flüchtlinge am Amazonas,,,,,,,2022-03-19_caritas_-_sostegno,2022-03-19_caritas_-_sostegno,,Caritas - Sostegno ai rifugiati venezuelani in Amazzonia - LIS,Angela Lunelio
