id	aligned	de	it	fr
0	3	('1', '00:00:01,600 --> 00:00:01,928', '. Mit')	('14', '00:02:17,809 --> 00:02:21,040', "LA TENSIONE E' AL CULMINE.")	('1', '00:00:09,106 --> 00:00:27,320', '...')
1	2	('2', '00:00:02,093 --> 00:00:06,480', 'Untertiteln von SWISS TXT * Drollige, erwartungsvolle Musik *')	('19', '00:02:51,085 --> 00:02:58,600', "METTENDOSI D'ACCORDO, I DUE ACCAMPAMENTI FANNO UNA BUONA ZUPPA DI LATTE.")	
2	3	('4', '00:00:32,265 --> 00:00:36,120', 'Unsere Geschichte spielt in der Region Zürich ums Jahr 1529.')	('1', '00:00:33,449 --> 00:00:38,120', 'LA STORIA SI SVOLGE NELLA REGIONE DI ZURIGO NEL 1529.')	('3', '00:00:32,468 --> 00:00:36,280', 'Notre histoire se passe dans la région de Zurich en 1529.')
3	3	('5', '00:00:37,578 --> 00:00:41,080', 'An diesem Morgen stehen sich zwei Armeen zum Kampf gegenüber.')	('2', '00:00:38,851 --> 00:00:44,120', 'DUE ESERCITI SI PREPARANO ALLA BATTAGLIA.')	('4', '00:00:36,670 --> 00:00:40,040', 'Ce matin, deux armées se préparent à la bataille.')
4	3	('9', '00:00:50,614 --> 00:00:53,480', 'Die einen sind katholisch, die anderen protestantisch.')	('4', '00:00:52,040 --> 00:00:56,160', "DA UNA PARTE SONO CATTOLICI, DALL'ALTRA PROTESTANTI.")	('7', '00:00:49,949 --> 00:00:53,200', "Un côté est catholique et l'autre est protestant.")
5	3	('14', '00:01:09,421 --> 00:01:11,240', 'Sehr lange.')	('14', '00:02:17,809 --> 00:02:21,040', "LA TENSIONE E' AL CULMINE.")	('11', '00:01:07,593 --> 00:01:14,880', "Mais l'attente est longue, longue, très, très longue.")
6	2	('16', '00:01:13,553 --> 00:01:15,092', '* Schimpfen')	('0', '00:00:04,040 --> 00:00:29,760', '* * * * * * * * * * * * * *')	
7	3	('17', '00:01:15,400 --> 00:01:17,232', '* Alle')	('0', '00:00:04,040 --> 00:00:29,760', '* * * * * * * * * * * * * *')	('1', '00:00:09,106 --> 00:00:27,320', '...')
8	3	('19', '00:01:25,246 --> 00:01:27,520', 'Aber das dauert ...')	('14', '00:02:17,809 --> 00:02:21,040', "LA TENSIONE E' AL CULMINE.")	('1', '00:00:09,106 --> 00:00:27,320', '...')
9	3	('20', '00:01:28,382 --> 00:01:31,960', 'Langsam, aber sicher bekommen die Soldaten grossen Hunger.')	('22', '00:03:08,433 --> 00:03:16,040', 'MA I SOLDATI HANNO MANGIATO TROPPO E SONO DIVENTATI TUTTI AMICI: NON HANNO VOGLIA DI BATTERSI.')	('31', '00:03:04,036 --> 00:03:06,401', 'Mais les soldats ont trop mangé.')
10	3	('23', '00:01:54,157 --> 00:01:54,513', '* Er')	('0', '00:00:04,040 --> 00:00:29,760', '* * * * * * * * * * * * * *')	('1', '00:00:09,106 --> 00:00:27,320', '...')
11	3	('26', '00:02:00,036 --> 00:02:09,160', 'Soldaten auf der anderen Seite finden das nicht toll, aber es bleibt ihnen nichts anderes übrig, als weiter zu warten und ihren knurrenden Mägen zuzuhören.')	('22', '00:03:08,433 --> 00:03:16,040', 'MA I SOLDATI HANNO MANGIATO TROPPO E SONO DIVENTATI TUTTI AMICI: NON HANNO VOGLIA DI BATTERSI.')	('9', '00:00:58,708 --> 00:01:01,800', 'Ils hésitent quand même à se battre entre eux.')
12	3	('29', '00:02:23,434 --> 00:02:25,360', 'Das beruhigt sie ein wenig.')	('18', '00:02:41,263 --> 00:02:46,440', "MA C'E' UN MODO SEMPLICE PER RISOLVERE IL PROBLEMA!")	('22', '00:02:24,774 --> 00:02:26,040', 'Ca calme les esprits.')
13	3	('30', '00:02:26,468 --> 00:02:32,240', 'Die beiden Anführer aber finden immer noch keine Lösung und diskutieren weiter.')	('9', '00:01:28,669 --> 00:01:35,560', 'MA LA DISPUTA CONTINUA E I SOLDATI HANNO FAME.')	('23', '00:02:26,424 --> 00:02:29,880', 'Pendant ce temps, les deux chefs se disputent toujours.')
14	3	('33', '00:02:41,425 --> 00:02:44,880', 'Dabei hätte es doch eine ganz einfache Lösung gegeben.')	('18', '00:02:41,263 --> 00:02:46,440', "MA C'E' UN MODO SEMPLICE PER RISOLVERE IL PROBLEMA!")	('26', '00:02:38,712 --> 00:02:43,440', 'Il y a aurait pourtant un moyen très simple de régler le problème.')
15	3	('34', '00:02:49,036 --> 00:02:50,960', 'So geschieht es dann auch.')	('14', '00:02:17,809 --> 00:02:21,040', "LA TENSIONE E' AL CULMINE.")	('27', '00:02:48,982 --> 00:02:50,233', 'Et voilà le résultat.')
