id	aligned	de	it	fr
0	2	('1', '00:00:00,869 --> 00:00:02,807', 'Der Hund ist, wenn ich es richtig in Erinnerung habe, .')		('7', '00:00:43,753 --> 00:00:45,800', '-Le chien est prêt.')
1	2	('2', '00:00:05,077 --> 00:00:07,006', 'Mit Untertiteln von SWISS TXT')		('46', '00:04:14,098 --> 00:04:17,000', 'Sous-titrage SWISS TXT')
2	2	('3', '00:00:07,987 --> 00:00:10,486', 'Dort war ich schon einmal.')		('41', '00:03:43,752 --> 00:03:46,800', '-Attention, je ferme.')
3	2	('4', '00:00:11,195 --> 00:00:20,407', 'Der Hund ist, wenn ich es richtig in Erinnerung habe, ein wenig dicker, daher ist es etwas schwierig, ihn ins Auto einzuladen.')		('2', '00:00:18,946 --> 00:00:25,640', '-Si je me souviens bien, le chien est un peu gros et donc difficile à faire rentrer dans la voiture.')
4	2	('5', '00:00:21,097 --> 00:00:26,006', 'Als ich das letzte Mal dort war, musste ich die Hundebox ausladen, um ihn einladen zu können.')		('3', '00:00:25,920 --> 00:00:33,240', "La dernière fois, j'ai d'abord dû décharger la caisse avant de pouvoir l'embarquer.")
5	2	('6', '00:00:27,322 --> 00:00:30,447', 'Patrick Huber im Einsatz für die Tierrettung.')		('4', '00:00:33,511 --> 00:00:34,011', '-P.Huber')
6	2	('7', '00:00:31,143 --> 00:00:34,247', 'Geplante Verlegungsfahrten wie diese sind Alltag für ihn.')		('6', '00:00:39,153 --> 00:00:43,440', 'Des déplacements comme celui-ci, il en fait tous les jours.')
7	2	('8', '00:00:36,109 --> 00:00:41,126', 'Der Hund ist schon bereit, aber wir warten noch auf den Nachbarn.')		('8', '00:00:46,068 --> 00:00:48,000', 'On attend encore les voisins.')
8	2	('9', '00:00:41,821 --> 00:00:44,286', 'Die Halterin von Hündin Sara musste ins Spital.')		('9', '00:00:48,267 --> 00:00:51,520', "-La propriétaire de Sarah a dû aller à l'hôpital.")
9	2	('10', '00:00:44,983 --> 00:00:48,046', 'Bis jetzt haben sich die Nachbarn um das Tier gekümmert.')		('10', '00:00:51,792 --> 00:00:58,680', "Les voisins se sont occupés de la chienne jusqu'aujourd'hui, mais il faut trouver une solution.")
10	2	('11', '00:00:48,741 --> 00:00:51,326', 'Doch jetzt muss eine neue Lösung gefunden werden.')		('33', '00:02:51,380 --> 00:02:55,200', 'Il y a maintenant une nouvelle urgence.')
11	2	('12', '00:00:52,030 --> 00:00:52,412', 'Wo bist')		('11', '00:00:59,029 --> 00:01:00,520', '-Tu es où ?')
12	2	('13', '00:00:52,539 --> 00:00:53,048', 'du jetzt?')		('1', '00:00:00,746 --> 00:00:02,240', '...')
13	2	('14', '00:00:53,175 --> 00:00:54,447', 'Ah, das ist auch gut.')		('12', '00:01:00,884 --> 00:01:02,200', 'Ah, bien.')
14	2	('15', '00:00:55,830 --> 00:00:57,646', 'Komm, komm.')		('13', '00:01:02,535 --> 00:01:04,160', 'Sarah, vient.')
15	2	('16', '00:00:58,373 --> 00:00:59,222', 'Sara, komm.')		('13', '00:01:02,535 --> 00:01:04,160', 'Sarah, vient.')
16	2	('17', '00:00:59,392 --> 00:01:00,326', 'Komm zu mir.')		('13', '00:01:02,535 --> 00:01:04,160', 'Sarah, vient.')
17	2	('18', '00:01:02,836 --> 00:01:06,166', 'Das sieht jetzt alles noch gar nicht so schlimm aus.')		('15', '00:01:10,224 --> 00:01:13,560', "Ca n'a pas l'air si grave que ça.")
18	2	('19', '00:01:07,665 --> 00:01:09,513', 'Warum gibt es jetzt einen Maulkorb?')		('16', '00:01:13,874 --> 00:01:17,840', '-Pourquoi lui mettre une muselière ?')
19	2	('20', '00:01:09,621 --> 00:01:10,926', '- Einfach zur Sicherheit.')		('17', '00:01:18,123 --> 00:01:19,212', '-Par sécurité;')
20	2	('21', '00:01:11,635 --> 00:01:15,446', 'Es ist bekannt, dass sie je nachdem auch zuschnappen kann.')		('18', '00:01:19,379 --> 00:01:21,640', "on sait qu'elle peut mordre.")
21	2	('22', '00:01:16,364 --> 00:01:18,286', 'Schau, hier drin ist eins.')		('12', '00:01:00,884 --> 00:01:02,200', 'Ah, bien.')
22	2	('24', '00:01:24,926 --> 00:01:25,762', '* Auch')		('1', '00:00:00,746 --> 00:00:02,240', '...')
23	2	('25', '00:01:25,860 --> 00:01:33,566', 'wenn sie nicht zuschnappt - so ganz freiwillig geht Hündin Sara nicht mit auf die Reise in ihr neues, vorübergehendes Daheim.')		('20', '00:01:29,751 --> 00:01:41,480', 'Le chien gémit -Même si elle ne mord pas, Sarah ne part pas volontiers pour son nouveau foyer temporaire.')
24	2	('26', '00:01:35,037 --> 00:01:37,886', 'Mit dem Hund geht es jetzt in ein Tierheim.')		('30', '00:02:37,463 --> 00:02:42,120', 'Ici, les animaux trouvent un foyer temporaire.')
25	2	('27', '00:01:38,602 --> 00:01:40,041', 'Es heisst Glückshof.')		('4', '00:00:33,511 --> 00:00:34,011', '-P.Huber')
26	2	('28', '00:01:40,192 --> 00:01:42,086', 'Dort war sie schon einmal.')		('41', '00:03:43,752 --> 00:03:46,800', '-Attention, je ferme.')
27	2	('29', '00:01:42,809 --> 00:01:45,427', 'Die Betreiberin kennt die Hündin.')		('22', '00:01:45,573 --> 00:01:50,520', 'Elle y est déjà allée et connaît la chienne des lieux.')
28	2	('30', '00:01:45,591 --> 00:01:48,045', 'Daher ist das gar kein Problem.')		('23', '00:01:50,862 --> 00:01:55,280', "Ce n'est plus un problème, donc.")
29	2	('31', '00:01:51,234 --> 00:01:51,823', 'Gut 1 Std.')		('12', '00:01:00,884 --> 00:01:02,200', 'Ah, bien.')
30	2	('34', '00:01:59,244 --> 00:02:02,006', 'Nein, sie hat wieder Vollgas gegeben.')		('41', '00:03:43,752 --> 00:03:46,800', '-Attention, je ferme.')
31	2	('35', '00:02:04,008 --> 00:02:05,926', 'Es ist wieder vollgekotzt.')		('12', '00:01:00,884 --> 00:01:02,200', 'Ah, bien.')
